url;name;category;ingredients;steps;calories;protein;fat;carbohydrates
https://www.povarenok.ru/recipes/show/170034/;Итальянское печенье;Десерты;"Масло сливочное (Комнатной температуры) — 100 г
Сахарная пудра — 120 г
Белок яичный — 3 шт
Мука пшеничная / Мука — 110 г";"Шаг 1: Для начала смешайте сахарную пудру с маслом. Затем добавьте белки и размешайте венчиком до однородной консистенции. Добавьте муку и размешайте. У вас получится достаточно мягкая и почти жидкая консистенция.
Шаг 2: При помощи кондитерского мешка сформируйте продолговатые формы на противени. Выпекайте печенье 8-10 минут при 190 градусах.
Шаг 3: Когда достанете печенье из духовки, вы можете придать им слегка дугообразную форму, уложив еще мягкое печенье на скалку, или оставить как есть. Дайте печенью полностью остыть и только тогда подавайте на стол или используйте для десертов. Приятного аппетита!";392.5 ккал;4.8 г;20.4 г;49.5 г
https://www.povarenok.ru/recipes/show/170033/;Блинный десерт с творожно-сливочным кремом и вишней;Выпечка;"Яйцо куриное — 2 шт
Сахар — 2 ст. л.
Соль — 1 щепот.
Молоко — 380 мл
Мука пшеничная / Мука — 130 г
Сливки (33-35% жирности) — 220 мл
Сахар — 3 ст. л.
Творог — 180 г
Ванильный сахар — 1 ч. л.
Вишня — 100 г
Какао-порошок — по вкусу";;176.7 ккал;6 г;7.4 г;21.6 г
https://www.povarenok.ru/recipes/show/170032/;Яблочный маринад для мяса;Маринад, панировка;"Филе (стейк индейки, куриная грудка, свиная вырезка, свиная шейка) — 600 г
Яблоко (крупное кисло-сладкое) — 1 шт
Кетчуп (томатная паста) — 1 ст. л.
Соевый соус — 30 мл
Сахар — 1 ч. л.
Масло растительное — 30 мл";"Шаг 1: Исходные продукты
Шаг 2: Включаем духовку на разогрев до 180 град. С Яблоко очищаем от кожуры и натираем на терке
Шаг 3: Добавляем кетчуп (я использовала кетчуп-чили), соевый соус, сахар, растительное масло, перемешиваем Пробуем на соль, подсаливаем по вкусу.
Шаг 4: В форму выкладываем треть соуса-маринада
Шаг 5: Сверху раскладываем ломти индейки и покрываем остальным маринадом
Шаг 6: Ставим форму в духовку. Запекаем 40 минут.
Шаг 7: Подаем сразу с любимым гарниром.";189.9 ккал;12.8 г;12.4 г;4.3 г
https://www.povarenok.ru/recipes/show/170029/;"Рубленые котлеты ""Детские""";Горячие блюда;"Филе куриное (Я брала филе цыплёнка) — 500 г
Сыр твердый (Думаю , подойдёт любой, у меня Российский) — 150 г
Мука пшеничная / Мука — 4 ст. л.
Майонез (У меня 67% , оливковый) — 4 ст. л.
Соль — 1 ч. л.
Перец черный — 0,5 ч. л.
Укроп (Не нашла свежего, положила сухой укроп. Если свежий, то полпучка будет достаточно) — 1 ст. л.
Яйцо куриное — 2 шт
Масло растительное — 2 ст. л.";"Шаг 1: Берем куриное филе, промываем, нарезаем кубиками, около 1см, можно чуть меньше, если не лень )
Шаг 2: К порезанной филешке добавляем натёртый на мелкой терке твёрдый сыр, яйца, укроп, соль, перец, майонез
Шаг 3: Должна получиться вот такая масса, довольно густая, ничего не течет)
Шаг 4: На сковороду льем около 2х столовых ложек растительного масла, столовой ложкой берем наш фарш и выкладываем на разогретое масло, формируя небольшие котлетки. Поджариваем до румяной корочки 2 минуты на среднем огне, переворачиваем и жарим 2 минуты на другой стороне.
Шаг 5: Вот и всё, котлетки готовы, приятного аппетита!
Шаг 6: Рецепт выкладываю впервые в жизни, так что если где-то ошиблась или непонятно расписала - прошу не судить строго 😇";198.4 ккал;17.2 г;9.6 г;9.8 г
https://www.povarenok.ru/recipes/show/170028/;"Печенье ""Золотистые лодочки"" с куркумой";Десерты;"Яйцо куриное — 2 шт
Кефир (или йогурт) — 200 мл
Масло растительное — 120 мл
Сахар — 4 ст. л.
Соль — 1/2 ч. л.
Ванильный сахар — 1 ст. л.
Разрыхлитель теста — 1 ч. л.
Мука пшеничная / Мука — 500 г
Мука пшеничная / Мука — 100 г
Масло сливочное — 70 г
Сахар — 4 ст. л.
Ванильный сахар — 1 ч. л.
Куркума — 3 ч. л.";;364.4 ккал;5.9 г;14.7 г;52.5 г
https://www.povarenok.ru/recipes/show/170026/;Пирожки с морковью и яйцом;Выпечка;"Дрожжи (сухие) — 15 г
Мука пшеничная / Мука (больше/меньше) — 500 г
Яйцо куриное (2 в тесто, 4 вареных+1 сырое в начинку) — 7 шт
Масло растительное (в тесто) — 75 г
Сахар (или по вкусу в тесто + 1 ст.л в начинку) — 60 г
Масло сливочное (в морковную начинку) — 70 г
Кунжут (для украшения) — 1 ст. л.
Морковь (450-500 гр отварить) — 4 шт
Желток яичный (для смазки пирожков с добавлением 1 ст.л. молока) — 1 шт
Молоко (в тесто) — 250 мл
Соль (в тесто и в начинку) — по вкусу";"Шаг 1: Тёплое молоко, сахар, соль, дрожжи - перемешать, добавить два яйца. Все перемешать венчиком.
Шаг 2: Добавить просеянную муку, следите за мукой! Тесто не должно прилипать к рукам, но и мукой не забивать, тесто очень эластичное.
Шаг 3: Собрать тесто в комок, положить в посуду (я посуду не смазывала) для подъема, накрыть.
Шаг 4: Готовим начинку. Морковь (я предварительно морковь очистила) и четыре яйца отварить.
Шаг 5: Сваренную морковь нарезать или натереть на терке. Добавить сливочное масло. Обжарить 5 минут, помешивая.
Шаг 6: Вареные яйца (4 штуки) натереть на терке.
Шаг 7: Добавить натертые яйца в морковь, все хорошо перемешать, добавить соль по вкусу и сахар 1 ст. л. Перемешать и добавить сырое яйцо, снова перемешать.
Шаг 8: Начинка готова, снять с огня пусть остывает.
Шаг 9: Тесто очень хорошо подошло. Не прилипло к чаше.
Шаг 10: Тесто выложить на стол, немного подпылить мукой. Разделить на маленькие шарики, у меня получилось 17 шариком, вес одного примерно 80 г. Кусочек теста оставить для украшения.
Шаг 11: Раскатать шарик, положить начинку. Завернуть конвертиком.
Шаг 12: Из кусочка теста ножом для пиццы нарезать полосочки, ширина полоски на ваше усмотрение.
Шаг 13: На каждый конвертик положить по 4 полосочки. На верху конвертика немного в стороны, внизу соединить на уголок и все кончики спрятать под конвертик.
Шаг 14: Вот так должно получиться. Смазать яичным желтком с молоком. Украсить кунжутом.
Шаг 15: Поставить в духовку 180*С на 20-25 минут. СЛЕДИТЕ за СВОЕЙ духовкой!!
Шаг 16: Вот такие пирожки получились!
Шаг 17: Приятного аппетита! Всех с праздником С Крещением Господним!!";248.2 ккал;7.4 г;12.4 г;28.3 г
https://www.povarenok.ru/recipes/show/170025/;Картофель в кляре с чесноком и укропом;Горячие блюда;"Картофель — 8 шт
Мука пшеничная / Мука — 60 г
Перец красный жгучий — 0,5 ч. л.
Орегано — 0,5 ч. л.
Соль — 0,5 ч. л.
Перец черный — 0,5 ч. л.
Вода (для кляра) — 130 мл
Масло сливочное — 40 г
Чеснок — 3 зуб.
Укроп (Веточка) — по вкусу
Масло растительное (Для жарки) — по вкусу";;113.4 ккал;2.3 г;2.6 г;20.2 г
https://www.povarenok.ru/recipes/show/170024/;Банановые гонконгские вафли;Десерты;"Банан — 1 шт
Яйцо куриное — 3 шт
Мука пшеничная / Мука (муку всегда добавлю на глаз. тесто должно быть не очень жидким, но и не плотным. примерно как сметана) — 200 г
Сахар (тут зависит от ваших вкусов и сладости) — 150 г
Ванильный сахар — 2 пакет.
Масло сливочное — 100 г";"Шаг 1: 1. Яйца соединяем с сахаром и ванильным сахаром
Шаг 2: 2. Взбить миксером до белой пены. У меня миксер очень мощный и мне хватает 3 мин.
Шаг 3: 3. Банан размять. У меня это отлично получается толкушкой, тк вилкой остаются небольшие кусочки.
Шаг 4: 4. Масло растопить
Шаг 5: 5. Добавляем к яичной смеси - банан, масло и муку. Всё хорошенько размещать.
Шаг 6: 6. Подготавливаем мультипекарь. Смесь у меня получилась не такая жидкая, но на данную форму нужно полтора-два половника. Я сначала наливала с одной стороны и равняла, а потом с другой стороны. И также всё выравниваем. Очень осторожно. Лучше добавить чуть позже, чем перелить и залить мультипекарь.
Шаг 7: 7. Одна вафля готовилась 5-6 минут Если смесь будет жидкой и не так много, то легко закрыть крышку. А если смесь будет густой, то крышку закрыть сложнее, а если закрыть, то потом открывать очень осторожно. Тут каждый рецепт индивидуален, как и сама панель! К панели ничего не прилипает, маслом я не смазывала. И готовила первый раз!
Шаг 8: Получились довольно ароматные.
Шаг 9: И даже спустя несколько часом, они мягкие";311.5 ккал;5.2 г;12.3 г;45.3 г
https://www.povarenok.ru/recipes/show/170023/;"Берлинское печенье ""Сердечки""";Десерты;"Творог (Творог необходимо протереть) — 300 г
Масло сливочное — 100 г
Сахар (20 гр. сахара в тесто и 150 гр. сахара для посыпки) — 170 г
Разрыхлитель теста — 1 ч. л.
Соль — 1 щепот.
Мука пшеничная / Мука — 260 г
Ванильный сахар (Для обсыпки) — 2 ст. л.";;313.9 ккал;8.7 г;10.1 г;47.4 г
https://www.povarenok.ru/recipes/show/170022/;Нежнейший бисквитный рулет с творожным кремом;Выпечка;"Яйцо куриное — 5 шт
Сахар — 4 ст. л.
Ванильный сахар — 1 ст. л.
Соль — 1 щепот.
Масло растительное — 60 мл
Разрыхлитель теста — 1/3 ч. л.
Мука пшеничная / Мука — 180 г
Творог (Творог нужно измельчить блендером или протереть через сито) — 500 г
Сахар — 4 ст. л.
Масло сливочное (Сливочное масло должно быть мягким) — 80 г
Ягода — 50 г
Киви — 1 шт
Сахар — 1 ст. л.
Вода — 50 мл";;254.1 ккал;9.7 г;11.4 г;28.2 г
https://www.povarenok.ru/recipes/show/170021/;Салат мясной с черносливом;Салаты;"Картофель (отварной) — 200 г
Говядина (отварная) — 200 г
Чернослив — 150 г
Яйцо куриное (отварное) — 4 шт
Лук зеленый — 1 пуч.
Соль — по вкусу
Майонез (или сметана) — 4 ст. л.";;184.4 ккал;8.4 г;10.3 г;14.9 г
https://www.povarenok.ru/recipes/show/170020/;Апельсиновое печенье в глазури с мятой;Десерты;"Масло сливочное — 125 г
Сахар — 100 г
Яйцо куриное — 1 шт
Мука пшеничная / Мука — 200 г
Разрыхлитель теста — 14 г
Соль — 1 щепот.
Цедра апельсина — 1 ст. л.
Сок апельсиновый — 1 ст. л.
Сахарная пудра — 70 г
Сок апельсиновый — 1/2 шт
Мята — 1 шт
Апельсин — 1/2 шт";;285.2 ккал;3.4 г;13.1 г;39.5 г
https://www.povarenok.ru/recipes/show/170019/;Булочки с какао и корицей;Выпечка;"Мука пшеничная / Мука (стакан 250мл) — 3 стак.
Ряженка (Кефир, простокваша) — 1 стак.
Дрожжи (свежие) — 20 г
Сахар — 2 ст. л.
Соль — 0.5 ч. л.
Масло растительное (без запаха) — 4 ст. л.
Ваниль — по вкусу
Кардамон — по вкусу
Сахар — 100 г
Какао-порошок — 1 ч. л.
Корица — 1 ч. л.
Масло сливочное (или топленое) — 50 г";;326.7 ккал;6.3 г;10.5 г;52.4 г
https://www.povarenok.ru/recipes/show/170018/;Пирог-рулет с сыром и зеленью;Выпечка;"Мука пшеничная / Мука — 250 г
Молоко — 100 мл
Масло сливочное — 30 г
Яйцо куриное — 1 шт
Дрожжи — 1 ч. л.
Сахар — 1 ч. л.
Соль (1/3 ч.л.) — по вкусу
Сыр творожный (с ветчиной от ТМ Hochland) — 100 г
Сыр плавленый (в ассортименте от ТМ Hochland) — 4 ломт.
Зелень (лук зелёный, петрушка) — по вкусу
Масло сливочное — 20 г
Сливки — 1 ст. л.
Кунжут — 1 ст. л.";"Шаг 1: Замесить дрожжевое тесто. В тёплом молоке развести сахар и дрожжи, оставить на 10 минут.
Шаг 2: В просеянную муку с солью добавить опару, яйцо и смешать до однородности. Затем вмешать мягкое сливочное масло.
Шаг 3: Тесто накрыть и убрать в тёплое место, на 1 час.
Шаг 4: Выбродившее тесто обмять.
Шаг 5: Пока выбраживается тесто, приготовить начинку. В творожный сыр добавить сливочное масло и перемешать.
Шаг 6: Тесто руками расплющить в прямоугольник, раскатать до 1 см. толщиной. На 2/3 теста, отступив от краёв, нанести смесь и зелень. На неё разложить пластинки плавленого сыра. Скрутить тугой рулет.
Шаг 7: На оставшемся тесте сделать прорези, наискосок. Скрутить рулет до конца.
Шаг 8: Затем свернуть кольцом и перенести в форму, 18-20 см., в центр поставить силиконовую формочку с горячей водой. Накрыть и оставить на расстойку в тёплом месте, 45-60 минут.
Шаг 9: Расстоявшуюся заготовку смазать сливками, посыпать кунжутом. Печь при 180 градусах, 45-50 минут, до красивого румянца.
Шаг 10: Готовый слегка остудить на решётке.";294.6 ккал;10.2 г;14.9 г;30.3 г
https://www.povarenok.ru/recipes/show/170017/;Кексы с корицей под ванильным соусом;Выпечка;"Мука пшеничная / Мука — 110 г
Сахарная пудра (ТМ Haas) — 60 г
Масло сливочное — 70 г
Яйцо куриное — 1 шт
Сливки — 70 мл
Разрыхлитель теста (ТМ Haas) — 2 ч. л.
Соль — 1 щепот.
Корица (ТМ Haas) — 1 ч. л.
Молоко — 200 мл
Соус (Ванильный ТМ Haas) — 1 пакет.
Сахарная пудра — 20 г";"Шаг 1: Для кексов: В чаше соединить масло комнатной температуры и яйцо.
Шаг 2: Добавить сахарную пудру от ""ТМ Haas"". Взбить в течении 2-3 минут.
Шаг 3: В отдельной чаше просеять муку с разрыхлителем и солью. Добавить корицу от ""ТМ Haas"".
Шаг 4: По очереди и частями добавить сливки и муку в масляную смесь. Аккуратно взбить все венчиком.
Шаг 5: Далее распределить тесто по формочкам (тесто должно заполнить примерно 2/3 формочки). Выпекать 20-25 минут в разогретой до 170 градусов духовке.
Шаг 6: Для соуса: В молоке развести ванильный соус от ""ТМ Haas"". Тщательно перемешать. Полученную смесь, помешивая, довести до кипения и варить в течении одной минуты.
Шаг 7: Полученный соус остудить. Переложить в кондитерский мешок. Нанести на наши кексы.
Шаг 8: Сверху украсить посыпкой и подавать к столу.";265.8 ккал;4.2 г;15 г;29.4 г
https://www.povarenok.ru/recipes/show/170016/;"Бутерброды ""Русское застолье""";Закуски;"Хлеб — по вкусу
Сыр плавленый (Сливочный от ТМ Hochland) — 100 г
Картофель — 150 г
Зелень (лук зелёный, укроп) — 2 ст. л.
Соль — по вкусу
Помидор — по вкусу
Перец болгарский — по вкусу
Редис — по вкусу
Укроп — по вкусу
Сельдь (малосольная, филе) — по вкусу
Лук репчатый — по вкусу
Укроп — по вкусу
Мята — по вкусу
Колбаса (копчёная) — по вкусу
Оливки зеленые — по вкусу
Лук зеленый — по вкусу";"Шаг 1: Варёный картофель размять вилкой.
Шаг 2: Добавить сливочный сыр, рубленую зелень, перемешать.
Шаг 3: Приготовить овощи и зелень, вымыть и обсушить. Ломтики хлеба подсушить в тостере.
Шаг 4: Собираем бутерброды. Вариант 1, овощной. На ломтики хлеба щедро намазать картофельно-сырную массу, на неё, слегка вдавив, положить полоски перца и помидора, колечки редиса. Украсить веточками укропа. По вкусу посолить.
Шаг 5: Вариант 2, с селёдочкой. На ломтики хлеба щедро намазать картофельно-сырную массу, на неё кусочки филе сельди и колечки репчатого лука. Украсить зелёным луком.
Шаг 6: Вариант 3, с колбаской. На ломтики хлеба щедро намазать картофельно-сырную массу, на неё слайсы копчёной колбасы, колечки оливок.
Шаг 7: Украсить зелёным луком.
Шаг 8: Подать к столу.";128.7 ккал;9.9 г;4.9 г;11.1 г
https://www.povarenok.ru/recipes/show/170015/;Ванильные ленивые вареники;Горячие блюда;"Творог — 130 г
Яйцо куриное — 1 шт
Сыр творожный (ТМ ""Hochland "") — 100 г
Сахар — 1 ст. л.
Соль (+1 щепотка) — 1/2 ч. л.
Ванилин (на кончике ножа) — по вкусу
Мука пшеничная / Мука (+1 ч.л. для раскатывания) — 130 г
Масло сливочное (для подачи) — 50 г
Вода — 1 л";"Шаг 1: Подготовим продукты. Кастрюлю ставим на огонь, наливаем в нее 1 литр воды и добавляем соль.
Шаг 2: В чашку разбиваем яйцо. Добавляем щепотку соли, сахар и ванилин. Слегка взбиваем.
Шаг 3: Затем добавляем творог, творожный сыр ТМ ""Hochland ""и просеянную муку.
Шаг 4: Замешиваем тесто.
Шаг 5: На коврик насыпаем муку и выкладываем тесто. Раскатываем из теста ""колбаску"" и нарезаем на кусочки.
Шаг 6: Вода закипела. Опускаем в кипящую воду кусочки теста.
Шаг 7: Доводим до кипения и варим ещё 2-3 минуты.
Шаг 8: Выкладываем вареники в чашку, добавляем сливочное масло. Перемешиваем.
Шаг 9: Подаем вареники. У меня сегодня со сметанным кремом (сметана и сахарная пудра).";89.8 ккал;3.6 г;4.7 г;8.3 г
https://www.povarenok.ru/recipes/show/170014/;"Печенье ""Двойные звезды""";Десерты;"Масло сливочное — 75 г
Сахарная пудра (ТМ Haas) — 60 г
Мука пшеничная / Мука — 120 г
Какао-порошок — 2 ст. л.
Соль — 1 щепот.
Корица (ТМ Haas) — 0,5 ч. л.
Желатин (ТМ Haas) — 2 г
Шоколад белый — 25 г
Сливки — 70 мл
Сироп глюкозы — 8 г
Пюре фруктовое (лимонное) — 25 г
Сахарная пудра — 20 г";"Шаг 1: Для теста на печеньки: В чаше взбить с помощью насадки ""весло"" размягченное сливочное масло, сахарную пудру и какао от ""ТМ Haas"".
Шаг 2: Добавить яйцо.
Шаг 3: Добавить разрыхлитель от ""ТМ Haas"", соль, муку. Перемешать.
Шаг 4: Далее корицу от ""ТМ Haas"" и продолжать взбивать миксером.
Шаг 5: Как только все ингредиенты перемешались, быстро собрать все тесто в комок, завернуть в пищевую пленку и убрать в холодильник на 1 час.
Шаг 6: Для ганаша. Желатин от ""ТМ Haas"" залить холодной водой.
Шаг 7: Далее 35 гр. сливок совместно с глюкозным сиропом и лимонным пюре подогреть до температуры 60°С. Добавить желатин от ""ТМ Haas"", затем растопленный шоколад, взбить блендером. Охладить до температуры 40°С и добавить оставшиеся 35 гр. сливок.
Шаг 8: Ещё раз взбить смесь блендером, накрыть плёнкой и поставить в холодильник на 8-12 часов. Так же перед нанесением на печеньки взбить блендером.
Шаг 9: Далее тесто раскатать. С помощью формочки вырезать звездочки. Выпекать в заранее разогретой до 180 °С духовке в течение 20-25 минут.
Шаг 10: Готовый ганаш пробить блендером. Переложить в кондитерский мешок и покрыть нашу звездочку.
Шаг 11: Сверху положить вторую печеньку.
Шаг 12: Готовые печенки посыпать сахарной пудрой и можно подавать к столу.";411.4 ккал;5.8 г;23.6 г;45.1 г
https://www.povarenok.ru/recipes/show/170013/;Фаршированные куриные шейки;Горячие блюда;"Шейка куриная — 6 шт
Кожа куриная (и жир) — 160 г
Лук репчатый — 1 шт
Крупа манная — 4 ст. л.
Сыр плавленый (треугольнички от ТМ Хохланд) — 2 шт
Молоко — 100 мл
Соль — по вкусу
Перец черный — по вкусу";"Шаг 1: Мелко нарезать обрезки кожи и внутренний жир от шеек. (Обрезки кожи - это порванные шейки, обрезанные рваные края шеек).
Шаг 2: Добавить мелко нарезанный лук.
Шаг 3: Всыпать манку, добавить сыр плавленый с грибным вкусом (шампиньоны). Посолить, поперчить по вкусу. Хорошо перемешать.
Шаг 4: Шейки с одной стороны завязать нитками.
Шаг 5: Шейки заполнить фаршем.
Шаг 6: Фаршем заполнять не плотно.
Шаг 7: Сшить края шейки.
Шаг 8: Шейки выложить в смазанную форму. На дно налить немного молока.
Шаг 9: Выпекать в разогретой до 180 градусов духовке минут 30-35, регулярно поливая выделяющимся жиром.
Шаг 10: Перед подачей нитки удалить. Сервировать овощами. Приятного аппетита!";187.5 ккал;14.3 г;8.6 г;14 г
https://www.povarenok.ru/recipes/show/170012/;Закуска с зелёной редькой и двумя сырами;Закуски;"Редька (зелёная, в D~8 см) — 0.5 шт
Морковь (средней величины) — 0.5 шт
Яйцо куриное — 2 шт
Соль (по вкусу)
Майонез — 1 ст. л.
Сыр творожный (Hochland творожный сливочный, ложка сыра берётся с горкой) — 1 ст. л.
Хлеб (Дарницкий) — 2 ломт.
Чеснок — 1 зуб.
Сыр твердый — 20 г
Ягода (красная для украшения, у меня калина) — 10 шт";"Шаг 1: Яйца варим вкрутую. Редьку и морковь чистим от шкурки, натираем на мелкой тёрке. Помещаем в посуду и заправляем майонезом и творожным сыром. Перемешиваем. У яиц отделяем белки от желтков, разрезав их аккуратно поперёк, чтобы сохранить в целости белок для закуски. У белков немного подрезаем низ, чтобы устойчиво их поставить. Желтки отправляем в закуску и разминаем вилкой. Срезанные белки мелко очень режем и отправляем туда же. Всё перемешиваем и по желанию солим по вкусу. Готова.
Шаг 2: Чайной ложкой начиняем яичные белки и выкладываем в тарелку для подачи. Сыр твёрдый натираем на тёрке и присыпаем закуску сверху. Украшаем красной ягодой. У меня калина. Это для праздничной подачи. Чеснок в закуску класть не буду. Она будет сырная и нежная.
Шаг 3: Закуску можно использовать в качестве намазки на чёрный хлеб. Хлеб нужно подсушить в тостере или на сухой сковороде, тот час же втереть в него очищенные дольки чеснока ( по вкусу) и сверху просто намазать намазку-закуску. Я сделала 2 тоста для праздничной подачи, вырезав из ломтиков хлеба звёздочки, подсушила их и втёрла чеснок. Сверху аккуратно выложила закуску и так же присыпала тосты твёрдым натёртым сыром.";159.5 ккал;7.6 г;8.4 г;12.9 г
